age,value
78.43137254901961,90.22663824066704
39.21568627450981,70.8246563931695
100.0,69.50507420587955
100.0,67.27827926482777
100.0,67.46384550991542
100.0,52.51545354452146
100.0,58.59790268906107
100.0,46.68042606009872
80.3921568627451,43.64951072366711
100.0,50.74226498035059
100.0,54.948433202337306
100.0,46.76289994680434
100.0,40.92787246238159
100.0,36.350571750219586
100.0,29.732042342093433
96.07843137254902,25.773295780223584
100.0,28.350604739774266
100.0,28.96915889006643
96.07843137254902,29.628949983711404
100.0,30.494925794120434
76.47058823529412,27.319681155953994
80.3921568627451,29.855753172151864
100.0,20.39187467268176
100.0,17.464051694632186
100.0,24.247528876169582
78.43137254901961,19.07229248539181
94.11764705882352,16.247561865724265
100.0,18.659923051863704
96.07843137254902,19.360951088861487
100.0,24.123818046111147
94.11764705882352,22.123826293499818
100.0,20.659914804475033
92.15686274509804,19.67022816400757
94.11764705882352,18.53621222180527
98.0392156862745,19.52589886227273
94.11764705882352,16.94858990272205
92.15686274509804,18.453738335099647
100.0,18.330027505041215
100.0,36.371190221895986
100.0,33.19594558372955
100.0,28.948540418390024
98.0392156862745,27.83514294786413
94.11764705882352,21.402179784825627
100.0,35.835109958309445
100.0,34.927897204547605
100.0,34.49490929934309
96.07843137254902,26.288757572133722
82.35294117647058,25.257833988313447
76.47058823529412,35.567069826516175
76.47058823529412,20.103216069212085
39.21568627450981,32.35058824499693
82.35294117647058,16.247561865724265
78.43137254901961,17.010445317751266
100.0,18.39188292007043
100.0,14.948598150110719
100.0,14.041385396348879
100.0,14.948598150110719
100.0,14.494991773229799
100.0,13.464068189409527
1.9607843137254901,9.27851843909922
100.0,12.515618492294877
94.11764705882352,12.371289190560038
96.07843137254902,14.659939546641043
100.0,12.598092379000498
92.15686274509804,12.062012115413957
100.0,13.072317227557823
92.15686274509804,14.309425528142151
100.0,13.670252906173582
100.0,14.433136358200583
88.23529411764706,23.546500839171795
49.01960784313725,13.917674566290447
88.23529411764706,16.53622046919394
94.11764705882352,12.371289190560038
88.23529411764706,10.824903814829629
37.254901960784316,25.257833988313447
31.372549019607842,33.50522265887563
68.62745098039215,17.958895014865917
