lon,lat,elev
-87.18,34.22,8.42602892102336
-87.42,32.23,3.1701890989988875
-88.28,33.23,3.0311457174638488
-86.5,31.32,4.616240266963293
-85.83,33.27,10.205784204671858
-86.98,34.8,7.675194660734149
-87.48,31.17,4.199110122358175
-86.68,32.47,3.337041156840934
-87.35,33.45,4.004449388209121
-87.78,30.88,3.921023359288098
-86.88,34.7,6.729699666295884
-87.0,33.4,5.450500556173526
-86.75,33.57,6.979977753058955
-86.17,34.22,10.789766407119021
-87.03,31.12,3.0033370411568407
-87.05,31.07,2.363737486095662
-85.73,34.93,7.230255839822024
-86.72,33.45,5.533926585094549
-87.32,32.03,3.64293659621802
-85.68,32.83,7.397107897664071
-87.53,33.9,5.2836484983314795
-87.25,32.9,5.506117908787542
-88.25,31.47,3.337041156840934
-86.33,33.28,5.172413793103448
-87.52,31.53,3.1701890989988875
-88.22,30.38,1.7241379310344827
-87.83,32.52,2.5027808676307006
-87.8,33.25,3.7819799777530587
-86.97,31.43,4.532814238042269
-87.88,30.55,1.8353726362625138
-87.83,33.68,4.699666295884316
-88.13,32.83,2.6974416017797553
-86.73,31.65,4.004449388209121
-87.58,32.7,3.503893214682981
-86.63,31.83,5.367074527252503
-87.62,34.23,9.705228031145717
-85.33,31.35,4.783092324805339
-85.6,33.65,8.843159065628475
-86.32,31.95,6.674082313681868
-85.4,33.53,11.651835372636262
-87.93,34.33,8.843159065628475
-87.45,33.25,3.2814238042269186
-86.58,34.7,6.7853170189098995
-85.75,33.82,7.675194660734149
-87.27,33.9,6.145717463848721
-86.18,31.23,3.921023359288098
-86.55,33.55,7.03559510567297
-88.18,32.58,3.0033370411568407
-87.27,32.68,3.0867630700778643
-87.22,32.47,3.337041156840934
-87.42,32.1,2.6140155728587318
-88.23,30.68,3.4760845383759733
-87.3,34.48,7.119021134593993
-87.63,33.0,2.6418242491657398
-86.48,33.95,8.9265850945495
-85.38,32.63,7.925472747497219
-86.67,33.77,8.42602892102336
-88.02,32.23,2.363737486095662
-86.7,33.68,6.7853170189098995
-86.93,32.65,3.6707452725250276
-88.02,33.38,3.6707452725250276
-87.6,30.55,2.9199110122358176
-86.82,34.17,8.42602892102336
-85.97,34.28,11.81868743047831
-86.05,34.68,6.8409343715239155
-87.0,32.42,2.8921023359288096
-88.13,33.9,4.616240266963293
-86.2,33.2,5.784204671857619
-86.1,33.43,6.340378197997775
-87.73,31.92,5.061179087875417
-85.95,31.78,5.867630700778643
-87.62,33.23,3.0867630700778643
-85.75,32.02,5.367074527252503
-87.52,32.45,3.921023359288098
-85.62,34.57,10.650723025583982
-88.12,33.75,3.1701890989988875
-87.23,31.2,3.0033370411568407
-87.12,33.12,5.867630700778643
-87.72,31.65,3.0867630700778643
-87.83,33.92,5.617352614015573
-113.58,34.23,12.56952169076752
-109.13,33.85,69.49388209121246
-111.32,31.58,32.84204671857619
-111.25,33.1,15.517241379310345
-113.17,34.58,33.45383759733036
-111.63,33.82,15.628476084538375
-109.88,31.42,44.21579532814238
-109.77,33.48,52.83648498331479
-114.02,33.95,9.53837597330367
-112.58,33.38,9.17686318131257
-114.6,35.12,6.562847608453837
-110.52,31.55,44.048943270300335
-111.9,33.82,23.10901001112347
-110.38,32.3,28.281423804226918
-112.37,33.98,18.35372636262514
-110.92,34.53,61.09566184649611
-111.7,34.35,24.11012235817575
-109.35,32.0,46.55172413793103
-112.17,34.3,33.5928809788654
-110.25,31.35,46.0789766407119
-109.6,31.47,36.4293659621802
-109.1,32.73,32.5083426028921
-114.42,33.58,5.617352614015573
-111.73,35.27,63.90433815350389
-111.72,33.6,15.044493882091212
-109.55,35.72,55.50611790878754
-112.72,32.95,7.925472747497219
-111.28,34.12,26.22358175750834
-112.15,36.05,59.14905450500556
-109.47,34.03,72.8865406006674
-110.57,34.42,56.7853170189099
-112.87,34.47,28.781979977753057
-110.17,34.9,44.60511679644049
-111.72,33.98,18.770856507230256
-112.12,34.75,46.162402669632925
-110.9,33.05,17.32480533926585
-113.87,33.27,16.740823136818687
-112.15,33.33,11.067853170189098
-112.37,33.5,10.372636262513904
-112.03,33.12,11.568409343715238
-109.85,34.07,63.65406006674082
-111.8,33.42,12.096774193548386
-110.88,33.4,31.813125695216907
-110.1,36.98,48.80422691879866
-111.63,34.93,56.47942157953281
-110.93,31.35,33.53726362625139
-110.72,32.57,38.70967741935484
-112.78,31.93,15.711902113459399
-111.45,36.92,37.847608453837594
-114.22,34.22,5.116796440489432
-109.87,31.92,39.62736373748609
-112.03,33.43,11.067853170189098
-109.92,34.12,62.708565072302555
-112.73,36.87,43.35372636262514
-110.93,34.1,44.46607341490545
-112.43,34.57,45.74527252502781
-114.23,33.67,9.093437152391546
-111.15,33.67,20.32814238042269
-109.37,31.75,49.471635150166854
-109.68,32.82,26.668520578420466
-109.38,34.52,50.7230255839822
-110.53,33.18,23.10901001112347
-109.4,35.2,51.86318131256952
-110.63,32.62,30.14460511679644
-109.22,32.27,32.25806451612903
-110.85,31.77,38.09788654060067
-111.55,31.48,32.06340378197998
-111.77,34.87,37.43047830923248
-112.88,35.32,46.134593993325915
-110.03,34.25,55.978865406006676
-110.08,34.5,49.471635150166854
-110.33,34.5,53.17018909899889
-109.3,34.13,61.29032258064516
-111.53,33.57,13.681868743047831
-111.55,35.37,60.81757508342603
-111.1,33.3,27.085650723025584
-111.07,33.3,37.01334816462736
-113.92,32.72,4.39377085650723
-109.1,36.9,45.57842046718576
-110.05,31.7,40.711902113459395
-111.1,34.38,55.83982202447164
-111.25,36.13,43.52057842046718
-110.95,32.28,21.384872080088986
-110.95,32.23,22.274749721913235
-111.0,32.27,21.134593993325918
-110.95,32.13,23.331479421579534
-111.05,31.57,29.338153503893214
-112.03,34.77,31.062291434927698
-111.48,36.98,33.17575083426029
-112.85,34.93,45.411568409343715
-112.55,34.3,33.53726362625139
-109.97,33.83,45.05005561735261
-112.73,33.98,19.410456062291434
-109.83,32.25,37.263626251390434
-112.18,35.25,58.84315906562848
-111.37,35.52,43.18687430478309
-110.2,31.45,39.62736373748609
-112.3,33.6,11.318131256952169
-114.65,32.62,3.253615127919911
-114.4,32.83,4.39377085650723
-94.2,35.07,6.924360400444939
-91.08,35.9,3.8375973303670743
-92.87,34.8,8.092324805339265
-93.42,34.28,5.700778642936596
-93.42,34.03,4.060066740823137
-93.05,34.12,3.337041156840934
-91.2,33.62,2.9199110122358176
-91.35,34.03,3.1701890989988875
-94.13,33.67,4.4493882091212456
-91.37,35.28,3.503893214682981
-91.78,35.82,6.479421579532814
-91.1,35.43,3.503893214682981
-94.22,36.37,12.68075639599555
-93.97,34.48,10.984427141268075
-93.15,34.3,5.867630700778643
-91.1,36.12,3.8375973303670743
-93.2,34.57,5.2836484983314795
-93.65,35.1,5.533926585094549
-93.15,33.68,4.699666295884316
-89.92,35.93,3.754171301446051
-93.92,35.1,7.563959955506117
-91.18,34.88,3.337041156840934
-92.08,34.95,4.087875417130144
-92.13,36.13,4.866518353726362
-92.48,33.3,2.474972191323693
-92.82,33.6,2.6696329254727473
-91.3,34.68,3.0867630700778643
-92.47,35.58,5.978865406006674
-92.47,35.08,4.254727474972191
-90.58,36.43,4.171301446051168
-94.42,34.43,10.53948832035595
-91.93,33.03,3.1701890989988875
-92.43,34.7,4.616240266963293
-92.42,35.37,7.675194660734149
-93.15,35.22,4.4493882091212456
-93.2,35.83,21.82981090100111
-94.35,34.03,5.2836484983314795
-91.38,33.55,2.864293659621802
-91.5,34.97,3.337041156840934
-94.03,34.12,5.2002224694104555
-92.8,33.22,3.7819799777530587
-91.27,33.12,2.836484983314794
-93.78,36.42,13.681868743047831
-91.62,36.08,5.784204671857619
-94.17,36.1,12.402669632925473
-92.37,33.7,4.004449388209121
-94.37,35.33,5.561735261401557
-93.55,34.33,6.312569521690768
-93.68,34.88,5.89543937708565
-94.45,36.43,12.319243604004448
-93.43,36.33,13.097886540600667
-92.38,35.23,4.699666295884316
-94.25,35.22,6.0344827586206895
-92.0,35.52,6.117908787541713
-91.8,33.23,3.1701890989988875
-90.63,34.55,3.337041156840934
-93.55,33.72,4.866518353726362
-93.05,34.52,7.675194660734149
-93.75,36.07,16.768631813125694
-93.18,36.02,8.9265850945495
-93.07,34.7,7.842046718576196
-90.7,35.83,4.616240266963293
-90.08,35.67,3.615127919911012
-91.27,33.83,2.864293659621802
-92.0,34.6,3.5873192436040044
-92.47,34.85,4.282536151279199
-92.9,36.4,7.675194660734149
-92.23,34.73,3.9766407119021134
-90.72,35.0,3.503893214682981
-93.23,33.28,4.365962180200222
-92.82,34.37,4.282536151279199
-91.53,36.48,7.146829810901001
-90.82,34.73,3.5873192436040044
-92.63,35.9,10.53948832035595
-91.9,36.07,6.8131256952169075
-94.27,34.57,11.206896551724137
-91.83,33.58,3.754171301446051
-92.73,35.13,4.4493882091212456
-93.63,34.55,7.230255839822024
-92.5,36.33,8.42602892102336
-92.13,35.87,8.175750834260288
-93.7,34.07,5.700778642936596
-93.9,34.15,6.979977753058955
-91.28,35.6,3.5595105672969964
-93.17,34.95,5.617352614015573
-94.4,35.8,14.377085650723025
-93.8,34.63,8.42602892102336
-93.82,35.48,4.949944382647386
-93.45,35.63,17.769744160177975
-90.5,36.03,3.921023359288098
-93.95,34.8,7.313681868743048
-92.8,35.05,4.4493882091212456
-92.02,34.22,3.4760845383759733
-93.9,34.58,8.759733036707452
-93.2,34.17,4.866518353726362
-90.97,36.27,4.310344827586206
-91.5,33.23,2.6696329254727473
-93.38,33.8,4.254727474972191
-93.88,35.3,5.533926585094549
-91.13,34.38,3.337041156840934
-90.13,36.45,4.171301446051168
-91.73,35.25,3.754171301446051
-92.4,34.28,3.4204671857619577
-91.53,34.48,3.4482758620689653
-91.42,34.47,3.3092324805339266
-93.65,35.3,5.867630700778643
-93.45,33.1,3.754171301446051
-94.1,34.9,7.369299221357063
-92.07,33.6,3.4204671857619577
-93.53,34.65,6.8131256952169075
-90.18,35.13,3.503893214682981
-90.77,35.22,3.8375973303670743
-120.95,41.2,37.18020022246941
-116.78,32.83,16.073414905450502
-118.13,34.18,11.318131256952169
-122.43,38.58,17.07452725250278
-121.78,38.0,2.057842046718576
-121.73,37.98,2.1412680756395996
-118.83,36.48,15.96218020022247
-119.48,37.08,18.520578420467185
-121.07,38.88,13.18131256952169
-119.1,36.9,16.490545050055616
-116.98,33.93,23.526140155728587
-118.48,37.85,47.91434927697441
-122.27,37.87,4.171301446051168
-116.92,34.25,58.89877641824249
-117.68,34.38,59.816462736373744
-118.18,34.3,21.32925472747497
-118.58,37.25,70.7452725250278
-119.02,38.22,72.58064516129032
-116.42,33.27,8.843159065628475
-115.55,32.95,0.8064516129032258
-123.82,40.52,19.021134593993324
-121.85,40.87,33.78754171301446
-119.97,34.62,8.342602892102336
-115.47,32.68,1.7519466073414904
-122.8,41.3,28.281423804226918
-116.47,32.62,23.60956618464961
-120.85,38.25,7.230255839822024
-120.87,41.45,38.18131256952169
-118.57,34.18,8.342602892102336
-121.08,40.17,40.294771968854285
-120.17,41.53,41.21245828698554
-119.92,37.97,42.10233592880979
-121.22,40.3,40.07230255839822
-121.82,39.7,3.1979977753058955
-117.68,35.68,20.60622914349277
-117.1,32.6,2.1134593993325916
-122.98,38.77,4.365962180200222
-120.35,36.15,7.258064516129032
-120.95,39.1,22.08008898776418
-122.33,41.98,24.555061179087875
-123.28,39.78,13.43159065628476
-117.87,34.08,6.562847608453837
-124.07,41.78,1.9744160177975527
-118.38,34.02,2.3081201334816464
-116.58,32.98,40.96218020022247
-116.78,34.87,17.99221357063404
-121.77,38.53,2.1412680756395996
-116.87,36.47,0.0
-116.38,33.65,11.81868743047831
-119.25,35.78,4.365962180200222
-116.62,32.85,31.312569521690765
-120.23,39.32,52.030033370411566
-120.1,40.03,37.847608453837594
-120.08,39.95,38.87652947719688
-122.27,41.2,20.022246941045605
-115.45,33.8,9.899888765294772
-122.52,39.37,11.902113459399333
-116.97,32.82,5.061179087875417
-116.82,32.88,6.8131256952169075
-115.57,32.78,1.2235817575083425
-120.67,38.33,7.703003337041157
-119.23,37.93,83.06451612903226
-117.6,34.63,25.88987764182425
-117.35,33.67,12.68075639599555
-124.17,40.8,2.0022246941045605
-118.43,34.7,27.586206896551722
-120.7,38.53,19.46607341490545
