date,lon,lat,elev,snow
2011-11-01,120.678,-39.623,6480.0,-0.18
2011-11-02,120.678,-39.623,6480.0,-0.14
2011-11-03,120.678,-39.623,6480.0,-0.12
2011-11-04,120.678,-39.623,6480.0,0.8
2011-11-05,120.678,-39.623,6480.0,0.77
2011-11-06,120.678,-39.623,6480.0,1.25
2011-11-07,120.678,-39.623,6480.0,1.44
2011-11-08,120.678,-39.623,6480.0,1.38
2011-11-09,120.678,-39.623,6480.0,1.34
2011-11-10,120.678,-39.623,6480.0,1.32
2011-11-11,120.678,-39.623,6480.0,1.3
2011-11-12,120.678,-39.623,6480.0,1.4
2011-11-13,120.678,-39.623,6480.0,1.37
2011-11-14,120.678,-39.623,6480.0,1.3
2011-11-15,120.678,-39.623,6480.0,1.38
2011-11-16,120.678,-39.623,6480.0,1.31
2011-11-17,120.678,-39.623,6480.0,1.34
2011-11-18,120.678,-39.623,6480.0,1.15
2011-11-19,120.678,-39.623,6480.0,2.32
2011-11-20,120.678,-39.623,6480.0,2.56
2011-11-21,120.678,-39.623,6480.0,3.11
2011-11-22,120.678,-39.623,6480.0,3.1
2011-11-23,120.678,-39.623,6480.0,3.09
2011-11-24,120.678,-39.623,6480.0,3.02
2011-11-25,120.678,-39.623,6480.0,3.17
2011-11-26,120.678,-39.623,6480.0,3.13
2011-11-27,120.678,-39.623,6480.0,3.07
2011-11-28,120.678,-39.623,6480.0,3.07
2011-11-29,120.678,-39.623,6480.0,3.09
2011-11-30,120.678,-39.623,6480.0,3.11
2011-12-01,120.678,-39.623,6480.0,3.14
2011-12-02,120.678,-39.623,6480.0,3.14
2011-12-03,120.678,-39.623,6480.0,3.07
2011-12-04,120.678,-39.623,6480.0,2.89
2011-12-05,120.678,-39.623,6480.0,2.83
2011-12-06,120.678,-39.623,6480.0,2.77
2011-12-07,120.678,-39.623,6480.0,2.78
2011-12-08,120.678,-39.623,6480.0,2.79
2011-12-09,120.678,-39.623,6480.0,2.73
2011-12-10,120.678,-39.623,6480.0,3.63
2011-12-11,120.678,-39.623,6480.0,3.69
2011-12-12,120.678,-39.623,6480.0,3.52
2011-12-13,120.678,-39.623,6480.0,3.57
2011-12-14,120.678,-39.623,6480.0,3.45
2011-12-15,120.678,-39.623,6480.0,3.41
2011-12-16,120.678,-39.623,6480.0,3.46
2011-12-17,120.678,-39.623,6480.0,3.43
2011-12-18,120.678,-39.623,6480.0,3.57
2011-12-19,120.678,-39.623,6480.0,3.52
2011-12-20,120.678,-39.623,6480.0,3.62
2011-12-21,120.678,-39.623,6480.0,3.56
2011-12-22,120.678,-39.623,6480.0,3.7
2011-12-23,120.678,-39.623,6480.0,3.62
2011-12-24,120.678,-39.623,6480.0,3.57
2011-12-25,120.678,-39.623,6480.0,3.66
2011-12-26,120.678,-39.623,6480.0,3.6
2011-12-27,120.678,-39.623,6480.0,3.52
2011-12-28,120.678,-39.623,6480.0,3.23
2011-12-29,120.678,-39.623,6480.0,3.19
2011-12-30,120.678,-39.623,6480.0,2.53
2011-12-31,120.678,-39.623,6480.0,2.36
2012-01-01,120.678,-39.623,6480.0,2.2
2012-01-02,120.678,-39.623,6480.0,2.1
2012-01-03,120.678,-39.623,6480.0,1.95
2012-01-04,120.678,-39.623,6480.0,1.82
2012-01-05,120.678,-39.623,6480.0,1.8
2012-01-06,120.678,-39.623,6480.0,1.75
2012-01-07,120.678,-39.623,6480.0,1.7
2012-01-08,120.678,-39.623,6480.0,1.65
2012-01-09,120.678,-39.623,6480.0,1.6
2012-01-10,120.678,-39.623,6480.0,1.55
2012-01-11,120.678,-39.623,6480.0,1.5
2012-01-12,120.678,-39.623,6480.0,1.45
2012-01-13,120.678,-39.623,6480.0,1.4
2012-01-14,120.678,-39.623,6480.0,1.35
2012-01-15,120.678,-39.623,6480.0,1.3
2012-01-16,120.678,-39.623,6480.0,1.3
2012-01-17,120.678,-39.623,6480.0,1.3
2012-01-18,120.678,-39.623,6480.0,1.66
2012-01-19,120.678,-39.623,6480.0,2.3
2012-01-20,120.678,-39.623,6480.0,2.82
2012-01-21,120.678,-39.623,6480.0,4.98
